Q,nflux,nflux_err,time,time_corr
16.0,1.0070451498,0.000259546999587,1533.62217354,-0.00144928193185
16.0,1.00813519955,0.000259581953287,1533.66304179,-0.00144823035225
16.0,1.00750720501,0.000259568972979,1533.68347592,-0.00144770403858
16.0,1.00689077377,0.000259515887592,1533.70391004,-0.00144717749208
16.0,1.00730919838,0.000259545398876,1533.72434417,-0.00144665071275
16.0,1.00744783878,0.000259526452282,1533.7447784,-0.00144612370059
16.0,1.00749409199,0.000259542866843,1533.76521252,-0.00144559633918
16.0,1.00748479366,0.00025952726719,1533.78564655,-0.00144506874494
16.0,1.00732958317,0.000259478925727,1533.80608078,-0.00144454080146
16.0,1.00744354725,0.000259513239143,1533.82651491,-0.00144401262514
16.0,1.00708675385,0.000259499618551,1533.84694894,-0.00144348409958
16.0,1.00726914406,0.000259502325207,1533.86738316,-0.00144295545761
16.0,1.00744855404,0.000259486434516,1533.88781729,-0.00144242634997
16.0,1.00772285461,0.000259499414824,1533.92868555,-0.00144136755262
16.0,1.00785171986,0.000259517080849,1533.94911968,-0.00144083774649
16.0,1.00765061378,0.000259502266999,1533.96955391,-0.00144030759111
16.0,1.00749027729,0.000259489461314,1533.98998794,-0.0014397772029
16.0,1.00713002682,0.000259456777712,1534.01042207,-0.00143924658187
16.0,1.00705206394,0.000259463908151,1534.0308562,-0.00143871561158
16.0,1.00771045685,0.00025952377473,1534.05129034,-0.00143818440847
16.0,1.00705313683,0.000259448890574,1534.07172447,-0.00143765285611
16.0,1.00725948811,0.000259456603089,1534.0921586,-0.00143712107092
16.0,1.00736355782,0.00025948259281,1534.11259273,-0.0014365890529
16.0,1.0078690052,0.000259527150774,1534.13302696,-0.00143605668563
16.0,1.00741195679,0.00025946192909,1534.153461,-0.00143552408554
16.0,1.00756967068,0.000259478925727,1534.17389513,-0.00143499125261
16.0,1.00781142712,0.000259509863099,1534.19432936,-0.00143445807043
16.0,1.00786447525,0.000259520747932,1534.2147634,-0.00143392465543
16.0,1.00744116306,0.000259463238763,1534.23519753,-0.00143339100759
16.0,1.00773274899,0.000259505672147,1534.25563176,-0.00143285701051
16.0,1.00773489475,0.000259462074609,1534.2760659,-0.0014323227806
16.0,1.00752270222,0.000259463791735,1534.29650003,-0.00143178820144
16.0,1.00754022598,0.000259472726611,1534.31693417,-0.00143125338946
16.0,1.00797283649,0.000259484892013,1534.3373683,-0.00143071834464
16.0,1.0075854063,0.000259473483311,1534.35780244,-0.00143018306699
16.0,1.0077855587,0.000259475229541,1534.37823657,-0.00142964744009
16.0,1.00746560097,0.000259444088442,1534.39867071,-0.00142911146395
16.0,1.0072401762,0.000259450956946,1534.41910494,-0.00142857537139
16.0,1.00759768486,0.000259467691649,1534.45997312,-0.00142750213854
16.0,1.00778377056,0.000259470718447,1534.48040735,-0.00142696523108
16.0,1.00715219975,0.000259404012468,1534.50084139,-0.00142642785795
16.0,1.00787580013,0.000259484426351,1534.52127563,-0.00142589036841
16.0,1.00763213634,0.000259459222434,1534.54170977,-0.00142535252962
16.0,1.00775337219,0.000259469583398,1534.56214381,-0.00142481445801
16.0,1.00752305984,0.000259435037151,1534.58257804,-0.00142427603714
16.0,1.00721812248,0.000259422697127,1534.60301218,-0.00142373749986
16.0,1.0077637434,0.000259467837168,1534.62344622,-0.00142319849692
16.0,1.00737249851,0.000259426771663,1534.64388046,-0.00142265937757
16.0,1.00763964653,0.000259467837168,1534.6643145,-0.00142211990897
16.0,1.0074198246,0.000259440887021,1534.68474874,-0.00142158020753
16.0,1.00745081902,0.000259453518083,1534.70518288,-0.00142104015686
16.0,1.00750911236,0.000259450433077,1534.72561702,-0.00142049987335
16.0,1.00790262222,0.000259491585894,1534.74605116,-0.00141995935701
16.0,1.007776618,0.000259447348071,1534.7664853,-0.00141941849142
16.0,1.00802183151,0.000259486288996,1534.78691944,-0.00141887739301
16.0,1.00761699677,0.000259427819401,1534.80735358,-0.00141833606176
16.0,1.00762224197,0.000259439606452,1534.82778773,-0.00141779438127
16.0,1.00735378265,0.000259402062511,1534.84822187,-0.00141725246795
16.0,1.00738489628,0.000259407184785,1534.86865601,-0.00141671032179
16.0,1.00813126564,0.000259487627773,1534.88909015,-0.00141616782639
16.0,1.00745296478,0.000259417167399,1534.90952439,-0.00141562509816
16.0,1.00717616081,0.000259388558334,1534.92995854,-0.0014150821371
16.0,1.00753366947,0.000259420019574,1534.95039258,-0.00141453882679
16.0,1.00753211975,0.000259396416368,1534.97082682,-0.00141399528366
16.0,1.00754165649,0.00025942621869,1534.99126097,-0.00141345150769
16.0,1.00744795799,0.000259409280261,1535.01169501,-0.00141290738247
16.0,1.00682997704,0.000259361928329,1535.03212926,-0.00141236302443
16.0,1.00827240944,0.000259446765995,1535.0525634,-0.00141181843355
16.0,1.00681352615,0.000259357126197,1535.07299765,-0.00141127349343
16.0,1.00663197041,0.000259305146756,1535.09343169,-0.00141072832048
16.0,1.00693774223,0.000259321444901,1535.11386584,-0.00141018279828
16.0,1.00672614574,0.000259308493696,1535.13430008,-0.00140963715967
16.0,1.0072479248,0.000259364343947,1535.15473413,-0.00140909117181
16.0,1.00739836693,0.000259371328866,1535.17516828,-0.0014085448347
16.0,1.00730001926,0.000259332591668,1535.19560252,-0.00140799826477
16.0,1.00751519203,0.000259362044744,1535.21603657,-0.001407451462
16.0,1.00764381886,0.00025937409373,1535.23647072,-0.0014069044264
16.0,1.00778675079,0.000259403546806,1535.25690496,-0.00140635704156
16.0,1.00769364834,0.000259348191321,1535.27733901,-0.00140580942389
16.0,1.00756680965,0.00025934597943,1535.29777326,-0.00140526157338
16.0,1.00743925571,0.000259356980678,1535.31820731,-0.00140471337363
16.0,1.0074981451,0.000259340595221,1535.33864146,-0.00140416494105
16.0,1.0076264143,0.000259367108811,1535.3590757,-0.00140361627564
16.0,1.00755023956,0.000259359774645,1535.37950975,-0.00140306726098
16.0,1.00759708881,0.00025936376187,1535.3999439,-0.00140251801349
16.0,1.00719678402,0.000259314401774,1535.42037815,-0.00140196853317
16.0,1.00710999966,0.000259338674368,1535.4408123,-0.00140141870361
16.0,1.00713741779,0.000259317690507,1535.46124645,-0.00140086864121
16.0,1.00733065605,0.000259335705778,1535.4816806,-0.00140031834599
16.0,1.00739169121,0.00025929993717,1535.50211475,-0.00139976770151
16.0,1.00763058662,0.000259343592916,1535.5225489,-0.00139921682421
16.0,1.00721013546,0.000259284948697,1535.54298305,-0.00139866571408
16.0,1.00734937191,0.000259304564679,1535.56341721,-0.0013981142547
16.0,1.00779592991,0.000259355321759,1535.58385146,-0.00139756256249
16.0,1.00711834431,0.000259309104877,1535.60428551,-0.00139701063745
16.0,1.0076738596,0.000259306456428,1535.62471966,-0.00139645847958
16.0,1.00774610043,0.000259351392742,1535.64515391,-0.00139590597246
16.0,1.0076457262,0.000259349209955,1535.66558797,-0.00139535323251
16.0,1.00738763809,0.000259283202467,1535.68602222,-0.00139480014332
16.0,1.00772225857,0.000259324675426,1535.70645637,-0.00139424682129
