01_kic,02_period,03_amplitude,04_power,05_peak,06_noiseLev,07_snr,08_Msun,09_Msun_err,10_Rsun,11_Rsun_err,12_logg,13_logg_err,14_teff,15_teff_err
5436338,23.5044534476,0.0067869853,16061.050838654,1,0.0009527436,14.2472436877,0.639,0.015,0.609,0.013,4.67,0.3,4545,61
5443837,4.1376553122,0.0029242063,6362.1314399225,1,0.000546485,10.7018728156,1.063,0.089,0.96,0.37,4.5,0.3,6082,102
5526527,9.1791758428,0.0120701412,10424.4420281808,1,0.0007593807,31.7894343252,0.642,0.015,0.614,0.013,4.67,0.3,4562,62
5534814,12.1489089996,0.0010878297,4112.4436416907,1,0.0007588148,2.8671812643,1.04,0.11,0.98,0.45,4.47,0.3,6045,127
5617854,28.919860296,0.0005853578,2979.0202232895,1,0.0003991465,2.9330478572,0.581,0.013,0.552,0.011,4.72,0.3,4246,63
5705819,18.6001139922,0.0011364835,3567.5115260393,1,0.0009510033,2.3900725372,0.798,0.048,0.72,0.28,4.62,0.3,5159,85
5786676,76.3215723969,0.0002967863,1233.5163851158,1,0.0002428977,2.4437135996,0.75,0.13,0.76,0.7,4.55,0.3,5088,76
5865654,14.2342879315,0.0004353266,3678.7371442142,1,0.0003685046,2.362665928,0.917,0.056,2.05,0.36,3.77,0.3,4934,75
5871985,27.6767819337,0.0018045956,5170.7675836965,1,0.0006254623,5.770438106,0.63,0.016,0.601,0.014,4.68,0.3,4504,64
5903749,19.669661713,0.0016207172,4298.9477894775,1,0.0006286557,5.1561362528,0.818,0.078,0.92,0.46,4.43,0.3,5420,111
5906426,24.9343205427,0.0007830073,3434.669292313,1,0.000523298,2.9925864997,0.78,0.18,0.81,0.69,4.51,0.3,5231,232
5953297,12.5242189488,0.0023449926,6689.6128570687,1,0.0003248561,14.4371163651,0.69,0.13,0.7,1.3,4.62,0.3,4797,71
5980208,16.1091491421,0.0012061109,4177.3781844774,1,0.0005963455,4.0450072948,0.582,0.014,0.552,0.011,4.72,0.3,4246,65
6029239,15.6988859721,0.0002276202,1391.3439549574,1,0.0001346022,3.3821153735,1.19,0.2,1.85,0.81,3.98,0.3,6150,81
6034945,17.3886694223,0.0024150312,5324.453876889,1,0.0004264316,11.326700447,0.981,0.069,1.01,0.35,4.42,0.3,5919,105
6061773,16.3870239104,0.0079974156,13922.0497419903,1,0.0003100146,51.5938068668,0.915,0.074,1.8,0.23,3.89,0.3,5119,67
6198999,24.9912497709,0.0041182397,9237.2048076918,1,0.0006997511,11.7705852292,0.685,0.018,0.664,0.018,4.63,0.3,4775,67
6226290,13.5441767069,0.0025495603,6021.1896312899,1,0.0008462129,6.0258132944,0.987,0.073,0.88,0.34,4.54,0.3,5831,127
6392727,7.6253339545,0.0041095116,5900.2169815613,1,0.0009170422,8.9625352264,0.98,0.14,0.87,0.57,4.55,0.3,5796,114
6435936,20.1958810104,0.0059047562,17720.7066826301,1,0.0010783087,10.9518849519,0.52,0.036,0.503,0.025,4.75,0.3,3893,200
6438099,18.5214339542,0.0021382254,5631.8288447373,1,0.0009720233,4.3995354149,0.864,0.025,0.759,0.068,4.61,0.3,5374,74
6523351,25.1217934085,0.0006681199,3757.4113197802,1,0.0001715108,7.7909931522,0.923,0.089,1.32,0.35,4.16,0.3,5689,83
6586746,23.5128564961,0.0052317642,12314.0482852943,1,0.0006922747,15.1147061708,0.72,0.14,0.72,0.69,4.59,0.3,4969,81
6599919,17.4998681559,0.0057946095,10696.9458961755,1,0.0006441494,17.9915066379,0.911,0.066,0.94,0.37,4.45,0.3,5707,95
6629332,4.2558969852,0.0062943046,11425.8273562622,1,0.0019016909,6.6196925904,0.944,0.038,0.84,0.23,4.57,0.3,5674,69
6665512,16.1328936299,0.0018277217,8172.7564560253,1,0.0006772338,5.3976089514,0.641,0.015,0.612,0.013,4.67,0.3,4557,61
6666233,25.8469144815,0.0013925041,2945.8471682084,1,0.0006412221,4.3432816202,0.547,0.01,0.523,0.007,4.74,0.3,4052,49
6690836,21.5900738301,0.0030574255,6751.5801585277,1,0.0006065016,10.0821683531,0.81,0.061,0.71,0.35,4.64,0.3,5159,96
6773862,24.8212415708,0.0019284805,7883.4571699498,1,0.0006131525,6.2903783167,0.559,0.015,0.533,0.011,4.73,0.3,4121,74
6774537,29.2678276233,0.00135056,4907.5355878805,1,0.0006252468,4.3200857548,0.717,0.095,0.71,0.48,4.6,0.3,4929,78
6776401,21.2753498077,0.0021822467,5786.222720246,1,0.0004659612,9.3666451617,0.8,0.23,0.85,0.83,4.48,0.3,5311,83
6862721,9.2217080778,0.0047320526,6894.7775059357,1,0.0008714906,10.859675469,0.87,0.14,0.77,0.54,4.61,0.3,5394,129
6863998,23.0931803195,0.0023020166,6332.2333141576,1,0.000584191,7.8810415803,0.772,0.054,0.79,0.31,4.53,0.3,5192,97
6867155,28.6924440082,0.008179812,15355.7076526139,1,0.0006059354,26.9989563553,0.592,0.014,0.562,0.012,4.71,0.3,4305,63
6869184,17.740951979,0.0035171839,11491.4707473236,1,0.0008325192,8.4494965766,0.95,0.065,0.84,0.35,4.57,0.3,5691,96
6879865,12.0023763187,0.0009539891,5807.7136722862,1,0.0004840401,3.9417774526,0.997,0.08,0.89,0.39,4.54,0.3,5870,
6921944,13.3980030501,0.0017341812,5966.2161065483,1,0.0009128295,3.7995732646,0.579,0.013,0.55,0.011,4.72,0.3,4230,64
6922203,20.7313796622,0.0011152717,3505.3849068126,1,0.0006718858,3.3198249905,1,0.1,1.06,0.44,4.39,0.3,5990,101
6922710,13.9072734459,0.0003509091,2060.6222907825,1,0.0001229086,5.7100835964,1.115,0.083,1.28,0.34,4.27,0.3,6223,109
7031517,5.5409605558,0.0016330707,2976.2049323647,1,0.000818163,3.9920424427,1.005,0.047,0.9,0.24,4.53,0.3,5908,80
7032421,19.4771665067,0.0027025569,10201.9767516962,1,0.0004614143,11.714232394,0.92,0.083,0.81,0.37,4.58,0.3,5590,
7045496,14.3274441426,0.0075706545,7031.5315010298,1,0.0006412029,23.6139138472,0.879,0.06,0.77,0.32,4.6,0.3,5434,77
7047363,27.5029329075,0.0015000141,3942.1706491521,1,0.0009547382,3.1422521767,0.882,0.041,0.78,0.22,4.6,0.3,5442,89
7047824,21.6431837093,0.0059129125,10666.3368315377,1,0.0007100137,16.6557710605,0.684,0.019,0.664,0.019,4.63,0.3,4769,75
7094486,18.1830039199,0.0026774226,10951.4828069746,1,0.0008562167,6.2540768427,0.553,0.013,0.528,0.01,4.74,0.3,4086,70
7215678,14.5560735862,0.0003603173,1795.1099195912,1,0.0003530351,2.0412551601,1.066,0.087,0.98,0.38,4.49,0.3,6098,97
7380537,9.0054852834,0.0071472569,8292.0055741482,1,0.0030765622,4.6462619662,0.738,0.018,0.648,0.018,4.68,0.3,4859,65
7382313,15.3630418881,0.0019262999,6342.0981184291,1,0.0005142824,7.4912150812,0.942,0.09,0.99,0.42,4.42,0.3,5811,108
7386827,18.9708271996,0.0028381102,8764.3492087225,1,0.0004963126,11.4367851401,0.88,0.1,1.03,0.47,4.35,0.3,5639,123
7428736,15.5817339905,0.0046192169,7249.3713144289,1,0.0004321853,21.3760948965,0.796,0.088,0.86,0.51,4.47,0.3,5318,74
7430034,18.7081725083,0.0002726958,4819.125923007,1,0.0001934062,2.8199274177,1.12,0.12,1.06,0.45,4.44,0.3,6272,80
7609553,20.8896329848,0.0059797706,9457.5237033173,1,0.0004878339,24.5156030388,0.73,0.1,0.72,0.66,4.58,0.3,4977,75
7661065,19.7762757503,0.0023901724,5222.1232099369,1,0.0006530057,7.3205257008,0.88,0.1,0.81,0.49,4.56,0.3,5495,88
7678434,23.3892475952,0.001119399,3217.9365575504,1,0.0006435176,3.4790002467,0.79,0.069,0.74,0.38,4.6,0.3,5166,80
7697568,19.2058886603,0.0028167237,5497.1874557726,1,0.0009492043,5.9349159128,0.824,0.068,0.81,0.42,4.54,0.3,5350,105
7767559,5.1007304367,0.004544071,3236.909949103,1,0.0012167751,7.4690402228,0.87,0.15,1.01,0.57,4.37,0.3,5617,114
7779077,11.4022576796,0.003299773,5833.8379333083,1,0.0004804474,13.7362507392,0.847,0.085,0.95,0.46,4.41,0.3,5526,97
7811397,21.9142505207,0.0019532725,3313.5999255019,1,0.0010244909,3.8131575658,0.892,0.053,0.79,0.3,4.6,0.3,5482,95
7870032,15.9332877852,0.0018446762,4292.1153011154,1,0.0003683353,10.0162883835,0.908,0.08,1.09,0.38,4.32,0.3,5723,96
7955580,20.2519296829,0.0007145467,3928.6971056371,1,0.0005823533,2.453996946,0.73,0.14,0.72,0.79,4.58,0.3,4991,88
8015907,19.2206643308,0.001886391,4049.8993411966,1,0.0002982102,12.651416903,0.89,0.16,1.09,0.58,4.32,0.3,5669,
8018547,15.8181621798,0.0021267691,6794.4969796484,1,0.000876425,4.8532826474,0.628,0.016,0.599,0.014,4.68,0.3,4494,68
8142942,26.6330144807,0.002212427,5082.063704397,1,0.0003093599,14.3032560128,0.72,0.13,0.71,0.8,4.59,0.3,4926,72
8218379,26.4400206073,0.0007374695,3550.9482857495,1,0.0003854235,3.8268013035,0.895,0.056,0.79,0.35,4.59,0.3,5488,74
8229458,14.9232012039,0.0037097025,12526.0752472444,1,0.0004721371,15.7145151277,0.552,0.037,0.527,0.028,4.74,0.3,4072,200
8261920,11.5485026097,0.0026993776,9990.2097943794,1,0.0011495465,4.6964217634,0.602,0.015,0.572,0.013,4.7,0.3,4356,66
8346392,17.9887737584,0.0023255172,10064.4629118465,1,0.0012680343,3.6679090238,0.564,0.015,0.537,0.011,4.73,0.3,4149,77
8360640,12.8930131771,0.0043048684,4911.2310654511,1,0.0004343794,19.8207770109,0.881,0.05,0.82,0.32,4.55,0.3,5506,72
8426567,12.7652107178,0.0024654647,4912.8068280935,1,0.0003986071,12.3703995072,0.918,0.058,2.14,0.45,3.74,0.3,4889,90
8505920,20.4219549786,0.0010426561,3388.9673317383,1,0.0004890322,4.2641610773,0.811,0.086,0.9,0.51,4.44,0.3,5379,93
8509442,15.1949662324,0.0015639253,5814.152977721,1,0.0010429175,2.999135043,0.561,0.013,0.534,0.01,4.73,0.3,4128,68
8591173,11.3080244507,0.0041323343,12297.8218271211,1,0.0005284103,15.6406273888,0.916,0.071,1.89,0.29,3.85,0.3,5036,83
8639908,11.0011737416,0.0033982133,4577.5835008551,1,0.0007622355,8.9164396129,0.632,0.015,0.574,0.013,4.72,0.3,4433,65
8672910,18.1981194273,0.0024931141,4512.2302916244,1,0.0005714562,8.7254769077,0.882,0.049,0.83,0.33,4.54,0.3,5526,98
8676148,17.5172929779,0.0015287723,3355.4306869833,1,0.0009192234,3.3262257258,0.941,0.085,0.84,0.42,4.56,0.3,5679,116
8678664,17.9147433164,0.0026850987,4020.6442897728,1,0.0009701037,5.5356944086,0.83,0.062,0.85,0.41,4.5,0.3,5411,96
8802693,22.1582366167,0.0009982646,2752.2507681526,1,0.0007053713,2.8304657374,0.892,0.047,0.79,0.28,4.59,0.3,5482,79
8804845,17.9887736546,0.0022670899,4084.155357907,1,0.0003513071,12.9066000272,0.924,0.027,0.82,0.15,4.58,0.3,5597,68
8822216,18.840220605,0.0010025646,2802.3600587631,1,0.0004540309,4.4162835768,0.939,0.039,0.83,0.23,4.57,0.3,5659,83
8826878,22.8282962718,0.0018803326,5023.9695839838,1,0.00063825,5.8921503816,0.823,0.084,0.88,0.48,4.46,0.3,5417,90
8832512,9.5225471626,0.0053898332,9927.5921544244,1,0.0005535363,19.4741824424,0.83,0.14,0.94,0.63,4.41,0.3,5488,90
8845205,51.2701068358,0.0029594801,11644.6019581621,1,0.0006430978,9.2038260354,0.495,0.032,0.485,0.021,4.76,0.3,3726,200
8956206,16.9839693282,0.0080390833,13682.6325952063,1,0.0009179971,17.5143988153,0.808,0.02,0.71,0.03,4.64,0.3,5153,72
9008220,14.8322070187,0.0027352637,8204.4808449462,1,0.0004480925,12.2084778603,1.075,0.058,0.98,0.29,4.49,0.3,6111,78
9044228,37.3589350578,0.0004561555,3037.8942567832,1,0.0003444189,2.6488417877,0.67,0.11,0.6,1,4.65,0.3,4674,74
9153570,16.5976776958,0.0040026301,4983.6158700625,1,0.0010567648,7.5752524423,0.903,0.055,0.8,0.28,4.59,0.3,5529,108
9214942,30.4483129588,0.0016742625,5162.7353096113,1,0.0008037842,4.1659500429,0.606,0.014,0.575,0.012,4.7,0.3,4373,65
9244756,12.7281022987,0.0019914984,4698.5367562485,1,0.0007607503,5.2356161526,0.935,0.059,0.83,0.34,4.57,0.3,5640,92
9266431,21.070585274,0.0015565374,5598.3353924215,1,0.0002296066,13.5582963118,0.834,0.057,0.88,0.4,4.47,0.3,5444,77
9269042,23.4393338677,0.0009478912,3976.7580855598,1,0.0006782414,2.795144148,0.825,0.062,0.76,0.32,4.6,0.3,5275,74
9278725,16.9708038904,0.0049791156,11806.105519861,1,0.0007219731,13.7930769511,0.729,0.02,0.726,0.023,4.58,0.3,4994,70
9279354,21.8268564455,0.0043885737,7287.2756158672,1,0.000741641,11.8347649096,0.686,0.017,0.666,0.017,4.63,0.3,4781,63
9334893,18.1378106382,0.0022054207,7047.6692620604,1,0.0002725286,16.1848746226,0.715,0.046,0.7,0.28,4.6,0.3,4924,68
9336200,15.8870372781,0.0068740587,9230.7819985774,1,0.0009795405,14.0352716744,0.91,0.061,0.81,0.31,4.58,0.3,5545,86
9351316,12.7355070129,0.0051394185,11323.8218136076,1,0.0008617541,11.9278079441,0.595,0.015,0.565,0.012,4.71,0.3,4317,65
9353314,18.1378098308,0.0036750836,13401.0184738928,1,0.0004631958,15.8683798372,0.62,0.015,0.59,0.012,4.69,0.3,4450,62
9388479,34.8604113978,0.0027378094,4504.6314949392,1,0.0006061532,9.0333906655,0.512,0.034,0.496,0.023,4.76,0.3,3834,200
9415108,17.7841889163,0.0018532324,3733.8216184906,1,0.000542051,6.8378521501,0.913,0.041,0.81,0.25,4.58,0.3,5554,85
9455325,20.0112776847,0.0020727475,5459.5062295102,1,0.0002548468,16.2666129559,0.84,0.21,0.98,0.78,4.38,0.3,5506,85
9472074,29.9075638646,0.0013680783,3786.4793843151,1,0.0008114861,3.3717849321,0.782,0.038,0.69,0.18,4.66,0.3,5046,88
9597058,12.8237999786,0.0056098455,8057.359514839,1,0.000353502,31.7386911487,0.894,0.036,0.79,0.22,4.6,0.3,5486,64
9631762,20.8498464866,0.0027591686,7531.6309922908,1,0.0004122215,13.3868261904,0.665,0.016,0.64,0.015,4.65,0.3,4677,59
9635606,11.0903436679,0.001630841,7788.652316517,1,0.0004897798,6.6594863995,0.72,0.13,0.71,0.93,4.59,0.3,4934,68
9712350,19.5292927669,0.0027522583,4760.6590679282,1,0.0009950533,5.5318811301,0.85,0.12,0.75,0.5,4.62,0.3,5311,110
9823487,21.8268573654,0.0018951449,5945.0221073545,1,0.0007533255,5.0314101603,0.782,0.047,0.73,0.26,4.61,0.3,5126,88
9838949,28.4685787251,0.0006347406,2545.1539749511,1,0.0004801382,2.6439913817,0.693,0.081,0.68,0.55,4.62,0.3,4811,82
9839821,13.4639218912,0.002408031,4300.1105892436,1,0.0005071044,9.4971805948,0.987,0.054,0.88,0.28,4.54,0.3,5836,79
9872283,18.5843287332,0.0037729338,8193.236775897,1,0.0003584486,21.0514659358,0.68,0.23,0.7,2.2,4.63,0.3,4735,75
9881077,23.1175694254,0.0041275148,7737.5930341958,1,0.0008744453,9.4403039517,0.643,0.016,0.616,0.015,4.67,0.3,4575,66
9898447,8.4606582973,0.0002137909,4077.2521358954,1,0.0001035672,4.1285448568,0.934,0.063,0.83,0.38,4.57,0.3,5632,62
9941066,32.4812141836,0.0018806597,5448.2553543772,1,0.0009701633,3.876996205,0.587,0.014,0.558,0.011,4.71,0.3,4280,67
9958962,15.1399288889,0.0020481358,5014.7268955052,1,0.0004936162,8.2984944646,1.025,0.071,0.92,0.33,4.52,0.3,5969,116
10064256,33.4745235595,0.001362701,6154.3388574402,1,0.0003581831,7.6089642641,0.821,0.08,0.78,0.4,4.57,0.3,5299,115
10118816,40.0225586402,0.0016792238,7840.6495801093,1,0.0007621906,4.4063092996,0.55,0.014,0.526,0.01,4.74,0.3,4072,74
10187159,36.0071373239,0.0010735092,3552.1346958307,1,0.0004225065,5.0816222352,0.75,0.22,0.76,0.96,4.55,0.3,5099,84
10190777,22.9043998769,0.0051586193,12199.4679214804,1,0.0002725792,37.8504205087,0.605,0.014,0.573,0.011,4.7,0.3,4368,62
10252275,26.6654564242,0.0005612197,3184.9286292244,1,0.0003174015,3.5363390155,0.759,0.071,0.78,0.43,4.54,0.3,5142,72
10330115,19.2038056995,0.0026585911,5503.4111169641,1,0.0009788831,5.4318865038,0.861,0.024,0.759,0.055,4.61,0.3,5363,76
10336951,25.6952324441,0.0008486531,2965.7339862628,1,0.0004594695,3.6940563184,0.654,0.015,0.628,0.015,4.66,0.3,4625,60
10388286,38.4751128872,0.0038014652,9834.9927303702,1,0.0005238423,14.5137763516,0.519,0.036,0.502,0.026,4.75,0.3,3890,200
10454632,25.9493378472,0.002749243,7295.6837695819,1,0.000231532,23.7482740402,0.918,0.066,2.1,0.41,3.75,0.3,4916,74
10464050,14.2528244719,0.0020307632,4721.7018117694,1,0.0004564016,8.8990190564,1.024,0.068,0.93,0.34,4.52,0.3,5966,97
10525027,29.5044996683,0.0016498917,5206.6331729261,1,0.000309068,10.6765603409,0.545,0.037,0.521,0.028,4.74,0.3,4025,200
10583761,14.6535069169,0.0003079365,1871.3492810117,1,0.000304795,2.0206134107,0.78,0.1,0.83,0.59,4.5,0.3,5264,72
10657406,18.0332279128,0.0058684256,10702.5404650718,1,0.0003140438,37.3732931494,0.79,0.094,0.84,0.55,4.49,0.3,5284,88
10662202,12.6035338966,0.0024838902,8089.9619201289,1,0.0006314892,7.8667707867,0.718,0.018,0.687,0.019,4.62,0.3,4900,67
10811496,6.8456340678,0.0041790066,5273.8870937618,1,0.0008822134,9.4739126866,0.992,0.046,0.88,0.24,4.54,0.3,5853,102
10842192,24.3789978397,0.0060074574,9916.6629288713,1,0.0012202606,9.8461875301,0.619,0.019,0.589,0.017,4.69,0.3,4445,83
10858832,18.8240228067,0.0005277381,2403.5074267906,1,0.0003136548,3.36508873,1.035,0.096,1,0.43,4.46,0.3,6045,100
10917681,14.7621973104,0.0003277369,1738.8729099989,1,0.000268377,2.4423616275,1.06,0.1,0.97,0.46,4.49,0.3,6074,83
10973664,10.9134290196,0.0032467143,4492.4563218661,1,0.0004617131,14.0637738674,1.07,0.12,0.98,0.51,4.49,0.3,6119,90
11030475,14.7423154815,0.0068388426,14642.8852089211,1,0.0007340498,18.6331838013,0.836,0.099,0.75,0.47,4.61,0.3,5294,78
11137180,17.3748719926,0.0032630369,6284.1973159169,1,0.0006831135,9.5534249078,0.772,0.052,0.68,0.29,4.66,0.3,5004,95
11194032,40.5413676027,0.0006470779,3098.2419125543,1,0.0002612924,4.9529015999,0.677,0.019,0.656,0.055,4.63,0.3,4736,70
11298298,14.234290496,0.0012853532,4612.6421529037,1,0.0001997059,12.8724603311,1.068,0.08,0.98,0.37,4.48,0.3,6103,90
11391957,18.791708094,0.0024563265,6695.1112051605,1,0.0007263222,6.7637375384,0.927,0.047,0.82,0.29,4.58,0.3,5612,78
11410904,11.2383668173,0.0065356518,7765.3073951356,1,0.0006059109,21.5729808912,1.021,0.068,0.92,0.33,4.52,0.3,5945,104
11414465,18.16791571,0.0054463637,9090.3128496216,1,0.0007340227,14.8397695153,0.702,0.019,0.687,0.019,4.61,0.3,4863,71
11462341,15.7159645859,0.0010839495,5951.0154225866,1,0.0003389281,6.3963388846,0.583,0.013,0.553,0.011,4.72,0.3,4250,63
11565544,24.9343266607,0.0006857175,2371.3771375553,1,0.0004401212,3.1160394438,0.962,0.047,0.85,0.28,4.56,0.3,5740,81
11569782,15.8296013185,0.0012323802,3855.8190746374,1,0.0004162547,5.9212790988,0.672,0.019,0.649,0.018,4.64,0.3,4706,75
11570749,27.3654232164,0.0009789303,3511.4116127481,1,0.0003438007,5.6947547911,0.911,0.07,1.6,0.2,3.99,0.3,5353,83
11656840,10.4100521411,0.0025757404,8798.2777104333,1,0.0009984586,5.159433827,1.07,0.19,1.01,0.78,4.46,0.3,6129,102
11670125,18.4257084927,0.0078141886,16686.8170381328,1,0.001134075,13.7807269107,0.695,0.02,0.677,0.02,4.62,0.3,4821,77
11760231,25.9799028981,0.0015707524,5847.6122130013,1,0.000213386,14.7221722315,0.777,0.079,0.81,0.48,4.51,0.3,5226,68
11818800,11.7827444532,0.0126100605,8330.581494146,1,0.0011306479,22.3059010468,0.859,0.075,0.88,0.44,4.48,0.3,5518,89
11818872,30.1324281442,0.0005038758,3340.7313126534,1,0.0002278731,4.4224252752,0.925,0.065,0.82,0.34,4.58,0.3,5603,90
11923270,36.0071367279,0.0042510205,8341.5103843218,1,0.0012495679,6.8039848212,0.538,0.036,0.516,0.027,4.74,0.3,3983,200
12020329,41.7792735314,0.0007058698,3517.3794096708,1,0.0005980407,2.3606079392,0.863,0.042,0.76,0.2,4.61,0.3,5379,117
12061969,19.2038068457,0.0076602425,13355.4740609041,1,0.0011770506,13.0159947302,0.764,0.03,0.69,0.13,4.64,0.3,5013,85
12115188,29.0349331225,0.0007507705,3528.4533979583,1,0.0004848663,3.0968147226,0.83,0.087,0.89,0.5,4.46,0.3,5442,100
12156347,29.5045015824,0.0072900762,14802.6670532522,1,0.0009393412,15.5216793245,0.584,0.014,0.554,0.011,4.72,0.3,4256,64
12170648,23.4644580334,0.004244081,12840.4394505134,1,0.0006169343,13.7586148896,0.769,0.091,0.77,0.5,4.55,0.3,5159,77
12314973,10.4337453644,0.0001107073,3928.2614831474,1,0.0001049566,2.1095824152,1.18,0.11,1.31,0.4,4.28,0.3,6418,66
12405333,13.5304946731,0.0022528387,5681.7785542516,1,0.0007827573,5.7561614944,0.77,0.068,0.79,0.45,4.53,0.3,5187,88
12469800,23.5401503342,0.001526851,4168.699820703,1,0.0009093989,3.3579346424,0.757,0.021,0.739,0.026,4.58,0.3,5085,69
12644822,23.5148666266,0.0012151126,3213.4103282004,1,0.0008321504,2.9204158264,0.956,0.061,0.88,0.34,4.53,0.3,5760,102
